,album,track_number,id,name,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity
59,Mozart: Trio K. 496 & Trio K. 442 (Completed by Robert Levin),8,2mgfsijzzWzY9DahDRYn0K,"Hilary Hahn And Paavo Järvi In Conversation, Pt. 1 - Bonus Track",spotify:track:2mgfsijzzWzY9DahDRYn0K,0.724,0.72,0.133,0.0,0.301,-26.538,0.917,63.334,0.448,9
60,Mozart: Trio K. 496 & Trio K. 442 (Completed by Robert Levin),9,2x7UeapHdeOwYPKpQKuyO1,"Hilary Hahn And Paavo Järvi In Conversation, Pt. 2 - Bonus Track",spotify:track:2x7UeapHdeOwYPKpQKuyO1,0.746,0.557,0.104,0.0,0.507,-27.026,0.755,73.665,0.512,7
61,Mozart: Trio K. 496 & Trio K. 442 (Completed by Robert Levin),1,6pfI2vG56fp02zaUWEH84M,Impulse,spotify:track:6pfI2vG56fp02zaUWEH84M,0.907,0.279,0.187,0.211,0.0685,-21.331,0.0656,80.957,0.0386,9
62,Mozart: Trio K. 496 & Trio K. 442 (Completed by Robert Levin),2,3mB2XOx6kDX7ryO8LmCyIx,Bifu,spotify:track:3mB2XOx6kDX7ryO8LmCyIx,0.979,0.081,0.039,0.466,0.0752,-26.74,0.0477,174.489,0.0268,21
63,Mozart: Trio K. 496 & Trio K. 442 (Completed by Robert Levin),3,0wZFkQEhfgnocWcTQF7G8h,When A Tiger Meets A Rosa Rugosa,spotify:track:0wZFkQEhfgnocWcTQF7G8h,0.931,0.198,0.0784,0.0253,0.157,-24.042,0.0528,84.837,0.0376,8
64,Mozart: Trio K. 496 & Trio K. 442 (Completed by Robert Levin),4,1s8QldGAhEcobxBdtjUhPf,light moving,spotify:track:1s8QldGAhEcobxBdtjUhPf,0.95,0.657,0.102,0.0,0.263,-30.666,0.0743,101.978,0.965,31
65,Mozart: Trio K. 496 & Trio K. 442 (Completed by Robert Levin),5,7zBIz21UuW4F7FLz3Zm6rq,Solitude d’automne,spotify:track:7zBIz21UuW4F7FLz3Zm6rq,0.714,0.192,0.0158,0.101,0.142,-29.163,0.0393,77.156,0.0343,6
67,Mozart: Trio K. 496 & Trio K. 442 (Completed by Robert Levin),7,7o8XPVHqgNhKlROAGqaR5Y,Third Sigh,spotify:track:7o8XPVHqgNhKlROAGqaR5Y,0.964,0.22,0.112,0.159,0.0944,-21.702,0.051,89.275,0.0363,6
68,Mozart: Trio K. 496 & Trio K. 442 (Completed by Robert Levin),8,1hruEOurmyAo8NkvYa6A9r,Memory Games,spotify:track:1hruEOurmyAo8NkvYa6A9r,0.926,0.483,0.166,0.454,0.0888,-21.593,0.0468,131.143,0.127,6
72,Mozart: Trio K. 496 & Trio K. 442 (Completed by Robert Levin),12,1qjNIwCxEtKJGtf8nrSmoJ,Torua,spotify:track:1qjNIwCxEtKJGtf8nrSmoJ,0.943,0.281,0.0635,0.00173,0.0859,-24.646,0.0443,94.765,0.0329,5
73,Mozart: Trio K. 496 & Trio K. 442 (Completed by Robert Levin),13,1HUB1G1uFPGIQROlS4ng7F,shade,spotify:track:1HUB1G1uFPGIQROlS4ng7F,0.934,0.36,0.0941,0.0102,0.094,-24.903,0.0446,90.859,0.0501,5
74,Mozart: Trio K. 496 & Trio K. 442 (Completed by Robert Levin),14,32wWz1yRz5uRqkBP0aco6O,Echo Dash,spotify:track:32wWz1yRz5uRqkBP0aco6O,0.956,0.454,0.344,0.00281,0.127,-18.747,0.0426,120.987,0.884,6
76,Mozart: Trio K. 496 & Trio K. 442 (Completed by Robert Levin),16,7JuXpfsZC3dLj5QbUG8MvZ,The Angry Birds of Kauai,spotify:track:7JuXpfsZC3dLj5QbUG8MvZ,0.943,0.442,0.181,0.256,0.1,-20.853,0.046,141.035,0.26,5
77,Mozart: Trio K. 496 & Trio K. 442 (Completed by Robert Levin),17,1QVmWX2eaatGXjm7CWcEgS,Hilary’s Hoedown,spotify:track:1QVmWX2eaatGXjm7CWcEgS,0.974,0.427,0.238,0.531,0.0811,-20.436,0.0519,158.024,0.397,5
78,Mozart: Trio K. 496 & Trio K. 442 (Completed by Robert Levin),18,2aPb0E0qzjF4lhKCrEYUr9,Two Pieces,spotify:track:2aPb0E0qzjF4lhKCrEYUr9,0.984,0.248,0.00935,0.022,0.08,-33.132,0.0486,68.587,0.0393,10
79,Mozart: Trio K. 496 & Trio K. 442 (Completed by Robert Levin),19,0lD37IniPzNleesydVAdRo,Aalap And Tarana,spotify:track:0lD37IniPzNleesydVAdRo,0.943,0.233,0.137,0.0026,0.0987,-21.541,0.0489,127.107,0.0576,6
80,Mozart: Trio K. 496 & Trio K. 442 (Completed by Robert Levin),20,1Sr3SQkpwCeEPr7hALqtAZ,"Speak, Memory",spotify:track:1Sr3SQkpwCeEPr7hALqtAZ,0.92,0.152,0.0461,0.000888,0.126,-22.874,0.0431,79.097,0.0341,6
81,Mozart: Trio K. 496 & Trio K. 442 (Completed by Robert Levin),21,2jbPXBugTTt9Rq2UCAWejg,Blue Curve of the Earth,spotify:track:2jbPXBugTTt9Rq2UCAWejg,0.965,0.346,0.089,0.005,0.0582,-20.902,0.0439,86.988,0.0487,15
83,Mozart: Trio K. 496 & Trio K. 442 (Completed by Robert Levin),23,3EJkUqAg8FRsgaXb1yp63z,Memories,spotify:track:3EJkUqAg8FRsgaXb1yp63z,0.945,0.195,0.0977,0.0639,0.094,-23.334,0.0466,95.998,0.0369,14
86,Mozart: Trio K. 496 & Trio K. 442 (Completed by Robert Levin),26,0BPHvRYonScpK4Fh4jIPUL,Levitation,spotify:track:0BPHvRYonScpK4Fh4jIPUL,0.979,0.236,0.0955,0.0174,0.119,-20.95,0.0454,89.057,0.0691,5
87,Mozart: Trio K. 496 & Trio K. 442 (Completed by Robert Levin),27,4FGO899sqaOBJMs59fOhYI,Mercy,spotify:track:4FGO899sqaOBJMs59fOhYI,0.95,0.161,0.0404,0.423,0.0906,-23.465,0.0437,91.251,0.0347,31
93,Mozart: Trio K. 496 & Trio K. 442 (Completed by Robert Levin),6,0pnJE8FOtgwsAh2E5sjESo,Blue Fiddle,spotify:track:0pnJE8FOtgwsAh2E5sjESo,0.939,0.286,0.154,0.049,0.078,-21.396,0.052,74.36,0.0369,6
96,Mozart: Trio K. 496 & Trio K. 442 (Completed by Robert Levin),9,5Tyl58TBJ7FlzghUzw6j4C,Farewell,spotify:track:5Tyl58TBJ7FlzghUzw6j4C,0.949,0.158,0.0845,0.00116,0.087,-23.251,0.0606,80.618,0.0344,10
97,Mozart: Trio K. 496 & Trio K. 442 (Completed by Robert Levin),10,0xWrxvNxADt98D1i689yqU,Ford’s Farm,spotify:track:0xWrxvNxADt98D1i689yqU,0.96,0.425,0.109,0.266,0.0513,-20.725,0.0399,147.762,0.476,6
98,Mozart: Trio K. 496 & Trio K. 442 (Completed by Robert Levin),11,7lcOlVY5Lw7vStpjiKuo6M,Whispering,spotify:track:7lcOlVY5Lw7vStpjiKuo6M,0.963,0.116,0.0495,0.00255,0.0908,-21.944,0.0506,84.857,0.0243,15
102,Mozart: Trio K. 496 & Trio K. 442 (Completed by Robert Levin),1,6NvJKgDEvQtOLsfO62c0Rt,Coming To,spotify:track:6NvJKgDEvQtOLsfO62c0Rt,0.96,0.199,0.103,0.067,0.0647,-21.783,0.0478,64.749,0.116,5
109,Mozart: Trio K. 496 & Trio K. 442 (Completed by Robert Levin),8,2VmomsE0LqwgDyyCv18p7O,Storm Of The Eye,spotify:track:2VmomsE0LqwgDyyCv18p7O,0.851,0.345,0.269,0.364,0.352,-20.013,0.0462,104.225,0.104,4
111,Mozart: Trio K. 496 & Trio K. 442 (Completed by Robert Levin),10,6lObHK0mY6uPRb8C0haQfY,133… At Least.,spotify:track:6lObHK0mY6uPRb8C0haQfY,0.967,0.372,0.177,0.00596,0.0749,-21.823,0.062,102.641,0.23,4
112,Mozart: Trio K. 496 & Trio K. 442 (Completed by Robert Levin),11,2ifa2dDa7sGukLNPpxdyyC,Two Voices,spotify:track:2ifa2dDa7sGukLNPpxdyyC,0.924,0.182,0.0144,7.82e-05,0.0783,-28.884,0.0531,85.531,0.0773,14
115,Mozart: Trio K. 496 & Trio K. 442 (Completed by Robert Levin),1,339zSFsbDzc7Wwk0c0558u,Stillness,spotify:track:339zSFsbDzc7Wwk0c0558u,0.912,0.17,0.0217,0.439,0.129,-25.055,0.0482,74.765,0.0277,18
116,Mozart: Trio K. 496 & Trio K. 442 (Completed by Robert Levin),2,4zQFT7FQBMcECu5kF7qryz,Bounce Bounce,spotify:track:4zQFT7FQBMcECu5kF7qryz,0.467,0.764,0.706,0.925,0.0501,-11.211,0.049,89.961,0.959,17
117,Mozart: Trio K. 496 & Trio K. 442 (Completed by Robert Levin),3,0ZIWXYTVNPfks3xo0WsqXv,Clock Winder,spotify:track:0ZIWXYTVNPfks3xo0WsqXv,0.798,0.373,0.297,0.347,0.0829,-16.886,0.0372,127.132,0.16,24
118,Mozart: Trio K. 496 & Trio K. 442 (Completed by Robert Levin),4,1MB41LnDsxxUnG82sxUheV,Adash,spotify:track:1MB41LnDsxxUnG82sxUheV,0.314,0.297,0.283,0.848,0.0839,-15.476,0.0379,105.581,0.0783,15
119,Mozart: Trio K. 496 & Trio K. 442 (Completed by Robert Levin),5,1rZyAMPHcwhXaeRlimNLim,Godot,spotify:track:1rZyAMPHcwhXaeRlimNLim,0.44,0.317,0.339,0.495,0.106,-22.974,0.0977,117.085,0.0386,11
120,Mozart: Trio K. 496 & Trio K. 442 (Completed by Robert Levin),6,0T5czlmK8YiQXcHRqowZG0,Krakow,spotify:track:0T5czlmK8YiQXcHRqowZG0,0.974,0.294,0.169,0.382,0.103,-14.727,0.0306,70.692,0.0517,27
121,Mozart: Trio K. 496 & Trio K. 442 (Completed by Robert Levin),7,5T51FpK6yxvf75VfX2D4NV,North Atlantic,spotify:track:5T51FpK6yxvf75VfX2D4NV,0.34,0.381,0.389,0.0782,0.0901,-15.6,0.0425,82.08,0.38,14
122,Mozart: Trio K. 496 & Trio K. 442 (Completed by Robert Levin),8,5qsP3FfREFOI6TpyvYn5vr,Draw A Map,spotify:track:5qsP3FfREFOI6TpyvYn5vr,0.792,0.655,0.422,0.697,0.0484,-15.337,0.0764,146.646,0.555,13
123,Mozart: Trio K. 496 & Trio K. 442 (Completed by Robert Levin),9,5xRA3nYyQmcWzKFSPkfXkr,Ashes,spotify:track:5xRA3nYyQmcWzKFSPkfXkr,0.928,0.416,0.0718,0.00567,0.111,-19.558,0.0376,128.299,0.0621,32
124,Mozart: Trio K. 496 & Trio K. 442 (Completed by Robert Levin),10,72VGUoKWjqRcOApuV4Sapt,Sink,spotify:track:72VGUoKWjqRcOApuV4Sapt,0.767,0.52,0.43,0.951,0.212,-13.22,0.066,140.806,0.108,11
125,Mozart: Trio K. 496 & Trio K. 442 (Completed by Robert Levin),11,4JnTlDj0WWaRuog8Mf2vZs,Halo Of Honey,spotify:track:4JnTlDj0WWaRuog8Mf2vZs,0.108,0.299,0.12,0.0369,0.127,-26.587,0.059,115.285,0.0649,11
126,Mozart: Trio K. 496 & Trio K. 442 (Completed by Robert Levin),12,4W2mDRaMpi3VmhsLf8yeJN,Rift,spotify:track:4W2mDRaMpi3VmhsLf8yeJN,0.87,0.217,0.225,0.593,0.0669,-18.886,0.0496,92.874,0.0382,13
128,Mozart: Trio K. 496 & Trio K. 442 (Completed by Robert Levin),2,0MDSLG0OI5eI8NNe1RJLoj,Sonata for Violin and Piano No.1: 2. Largo cantabile,spotify:track:0MDSLG0OI5eI8NNe1RJLoj,0.946,0.196,0.0282,0.114,0.107,-26.081,0.039,101.686,0.0432,4
129,Mozart: Trio K. 496 & Trio K. 442 (Completed by Robert Levin),3,4pZW8WJlAPnlXOxnKVrJaQ,Sonata for Violin and Piano No.1: 3. Allegro,spotify:track:4pZW8WJlAPnlXOxnKVrJaQ,0.931,0.276,0.128,0.19,0.162,-21.131,0.0389,99.682,0.108,3
131,Mozart: Trio K. 496 & Trio K. 442 (Completed by Robert Levin),5,2X1ag20bsm19mW8cRsVUW5,Sonata for Violin and Piano No.2: 2. In the Barn. Presto - Allegro moderato,spotify:track:2X1ag20bsm19mW8cRsVUW5,0.903,0.427,0.209,0.063,0.0796,-19.654,0.037,135.892,0.513,5
133,Mozart: Trio K. 496 & Trio K. 442 (Completed by Robert Levin),7,2Lc0jtas72sUSybwNygF1v,Sonata for Violin and Piano No.3: 1. Adagio (Verse I) - Andante (Verse II) - Allegretto (Verse III) - Adagio (Last Verse),spotify:track:2Lc0jtas72sUSybwNygF1v,0.923,0.215,0.0694,0.0058,0.165,-24.437,0.0494,71.925,0.0582,3
134,Mozart: Trio K. 496 & Trio K. 442 (Completed by Robert Levin),8,0bLy8bOofh6jsKf6V7an1E,Sonata for Violin and Piano No.3: 2. Allegro,spotify:track:0bLy8bOofh6jsKf6V7an1E,0.954,0.403,0.158,0.0367,0.15,-20.867,0.0404,119.797,0.508,5
